,alg,K,lambda,alpha,rmse,nDCG_10,MRR_10,nDCG_5,MRR_5,convergence_limit
0,gradient descent,20,0.002,0.00025,1.1971949676379794,0.6938153267289902,0.7405605211331618,0.6651597115847374,0.7403711558854721,0.02
1,gradient descent,20,0.002,0.0001,1.3202291255360694,0.6845314673307451,0.731434967765827,0.6527501130873998,0.7309013785790034,0.02
2,gradient descent,20,0.003,0.00025,1.1887279329737985,0.6948680895839423,0.7365687017118621,0.665894681903726,0.7363061152350656,0.02
3,gradient descent,20,0.003,0.0001,1.3114868907517025,0.685515419828141,0.7322590011614404,0.6550585828379398,0.7319865676917641,0.02
4,gradient descent,10,0.002,0.00025,1.1266800763364888,0.7242396891372254,0.7747507953340403,0.704995765502184,0.7746447507953341,0.02
5,gradient descent,10,0.002,0.0001,1.245730834054499,0.7137867471795989,0.7670347927081755,0.6917178869193721,0.7669388476493462,0.02
6,gradient descent,10,0.003,0.00025,1.1306160719089708,0.7238845222028059,0.7735949098621422,0.7043518040427398,0.7735065394132203,0.02
7,gradient descent,10,0.003,0.0001,1.2468002594161423,0.7143232693553061,0.765311316467202,0.6929426062207018,0.7651219512195122,0.02
8,gradient descent,5,0.002,0.00025,1.296994519750892,0.7288403093240818,0.7751290208554261,0.7104601951081237,0.7750936726758573,0.02
9,gradient descent,5,0.002,0.0001,1.78074463414833,0.7183340433002158,0.7713417159016311,0.6980119421320363,0.7713114174620008,0.02
10,gradient descent,5,0.003,0.00025,1.2947132225032387,0.7289470511889593,0.7752103216684342,0.7106329606456906,0.7752103216684342,0.02
11,gradient descent,5,0.003,0.0001,1.783443986612846,0.71793944600934,0.7697861435136091,0.6968519451476294,0.7696889360197952,0.02
