,alg,K,lambda,alpha,rmse,nDCG_10,MRR_10,nDCG_5,MRR_5,convergence_limit
0,gradient descent,5,0.002,0.00025,1.4572398805911908,0.7252145943630554,0.772430776481678,0.7057271234753504,0.7724072110286322,0.02
1,gradient descent,10,0.002,0.00025,1.1301817112011456,0.7234834268720961,0.7734464475079534,0.7044495810479467,0.7734464475079534,0.02
2,gradient descent,20,0.002,0.00025,1.191187661973635,0.6949984412596943,0.7392208251275061,0.6664715351758168,0.7390314598798164,0.02
3,gradient descent,20,0.003,0.00025,1.1902601551740346,0.6940964830939446,0.7396465182043126,0.6655614130720847,0.7393778720395902,0.02
4,als,20,0.002,,2.800743069826912,0.7303720124030674,0.779644750795334,0.7116133143382006,0.7796182396606575,0.02
5,als,20,0.002,,2.9173253443291074,0.5185456152381824,0.5683943089430895,0.5043989587980787,0.5683280311063981,0.02
6,gradient descent,3,0.002,0.00025,2.7844378753079293,0.4048545460441749,0.4650053022269353,0.39281726216508045,0.4650053022269353,0.02
7,gradient descent,3,0.002,0.00025,2.75575569638414,0.49877628023625764,0.5553199010250972,0.48323206503557203,0.5553199010250972,0.02
8,gradient descent,3,0.002,0.00025,2.7495170212077156,0.5013864256022976,0.559446800989749,0.48499866222023247,0.559446800989749,0.02
9,gradient descent,20,0.002,0.00025,1.1913450886353458,0.6948338079810019,0.7396889360197952,0.6658215801742613,0.7394026157652883,0.02
10,gradient descent,5,0.002,0.00025,1.2966769219175363,0.7292560202594096,0.7747528152300157,0.7101022808918108,0.7747225167903855,0.02
11,als,20,0.002,,2.895606583414334,0.42655066959637394,0.47593798919355657,0.4163296086562269,0.47578649699540476,0.02
12,gradient descent,20,0.002,0.00025,1.1971949676379794,0.6938153267289902,0.7405605211331618,0.6651597115847374,0.7403711558854721,0.02
13,gradient descent,20,0.002,0.0001,1.3202291255360694,0.6845314673307451,0.731434967765827,0.6527501130873998,0.7309013785790034,0.02
14,gradient descent,20,0.003,0.00025,1.1887279329737985,0.6948680895839423,0.7365687017118621,0.665894681903726,0.7363061152350656,0.02
15,gradient descent,20,0.003,0.0001,1.3114868907517025,0.685515419828141,0.7322590011614404,0.6550585828379398,0.7319865676917641,0.02
16,gradient descent,10,0.002,0.00025,1.1266800763364888,0.7242396891372254,0.7747507953340403,0.704995765502184,0.7746447507953341,0.02
17,gradient descent,10,0.002,0.0001,1.245730834054499,0.7137867471795989,0.7670347927081755,0.6917178869193721,0.7669388476493462,0.02
18,gradient descent,10,0.003,0.00025,1.1306160719089708,0.7238845222028059,0.7735949098621422,0.7043518040427398,0.7735065394132203,0.02
19,gradient descent,10,0.003,0.0001,1.2468002594161423,0.7143232693553061,0.765311316467202,0.6929426062207018,0.7651219512195122,0.02
20,gradient descent,5,0.002,0.00025,1.296994519750892,0.7288403093240818,0.7751290208554261,0.7104601951081237,0.7750936726758573,0.02
21,gradient descent,5,0.002,0.0001,1.78074463414833,0.7183340433002158,0.7713417159016311,0.6980119421320363,0.7713114174620008,0.02
22,gradient descent,5,0.003,0.00025,1.2947132225032387,0.7289470511889593,0.7752103216684342,0.7106329606456906,0.7752103216684342,0.02
23,gradient descent,5,0.003,0.0001,1.783443986612846,0.71793944600934,0.7697861435136091,0.6968519451476294,0.7696889360197952,0.02
24,als,20,0.002,,2.910266670425408,0.42460019370300006,0.46848120655119596,0.41480451232434895,0.4683633792859668,0.02
25,als,20,0.003,,2.9077036510837826,0.42649594776168626,0.47431365618004007,0.4166139284694896,0.4741958289148109,0.02
26,als,10,0.002,,2.913747843392611,0.4275893385249932,0.4722074938140685,0.41824992977839215,0.47207493814068574,0.02
27,als,10,0.003,,2.890106313559181,0.4271721979389613,0.4750353481795688,0.4177322779727784,0.47490279250618594,0.02
28,als,20,0.002,,2.908563781344783,0.42443690162111786,0.46998350418286794,0.4144279387483493,0.4698656769176388,0.02
29,als,20,0.003,,2.9118012954852235,0.4248501727232864,0.4722264303388376,0.4142958149601632,0.4720749381406858,0.02
30,als,10,0.002,,2.9030140355480483,0.4269619915457308,0.4769647696476964,0.4177725385366821,0.4768469423824673,0.02
31,als,20,0.002,,2.9057843753257284,0.4247619778914633,0.4690114292447272,0.414733885424167,0.4688936019794981,0.02
32,als,20,0.002,,2.7999194660832063,0.7307297468122342,0.7803543234190107,0.7129684551510918,0.7803004595263345,0.02
33,als,20,0.003,,2.797412355364256,0.731246281760126,0.7824221919237827,0.7132774365829684,0.7823329798515377,0.02
34,als,10,0.002,,2.787932724335354,0.7319975146629749,0.7816339275193995,0.7135781897522671,0.781558854718982,0.02
35,als,10,0.003,,2.7832905649345303,0.7320068659255943,0.7807576293154236,0.7137228534532714,0.7807104984093319,0.02
36,als,5,0.002,,2.848015301262526,0.7285839463380424,0.7779223686646806,0.7093282458686371,0.7778331565924356,0.02
37,als,5,0.003,,2.849899857132529,0.7282862657297431,0.7770207375986804,0.7084684653205731,0.7769706610109578,0.02
