,model_type,loss,hit_rate_mean,ncdg_mean,loss,mrr_5_mean,mrr_10_mean,epoch,revenue_mean
0,model_MF,1.1187574863433838,0.427317880794702,0.2343417337723103,1.1187574863433838,0.1559437086092715,0.17592958320193422,1,0.6274834437086093
1,model_MF,0.4111262261867523,0.5519867549668874,0.30913947319742685,0.4111262261867523,0.2120281456953642,0.2351220697992221,2,0.8069536423841059
2,model_MF,0.40025079250335693,0.595364238410596,0.33422522104681623,0.40025079250335693,0.2302924944812362,0.2545588273940923,3,0.8728476821192053
3,model_MF,0.40245339274406433,0.6076158940397351,0.3466321402534691,0.40245339274406433,0.24224061810154524,0.2668299300956586,4,0.8958609271523179
4,model_MF,0.4079104959964752,0.6144039735099338,0.35243289160671654,0.4079104959964752,0.24801876379690949,0.2722407495006833,5,0.9218543046357616
5,model_MF,0.4126713275909424,0.6208609271523179,0.3546872961633002,0.4126713275909424,0.24989238410596026,0.2730696152633239,6,0.8374172185430464
6,model_MF,0.4186258316040039,0.6213576158940397,0.3548759939609813,0.4186258316040039,0.24900386313465783,0.2731749973720172,7,0.858112582781457
7,model_MF,0.42154672741889954,0.6246688741721854,0.3617072676216373,0.42154672741889954,0.2571467991169978,0.28113259487017767,8,0.8253311258278145
8,model_MF,0.42362791299819946,0.6230132450331126,0.3566073339656798,0.42362791299819946,0.25085540838852094,0.2749283874697782,9,0.8665562913907284
9,model_MF,0.42741167545318604,0.6225165562913907,0.3565889225966248,0.42741167545318604,0.25145143487858723,0.27492352570167145,10,0.8509933774834437
10,model_MF,0.431289941072464,0.627317880794702,0.35519498090018103,0.431289941072464,0.24716611479028697,0.2716740250183959,11,0.8822847682119205
11,model_MF,0.43439218401908875,0.6269867549668874,0.3593564463013664,0.43439218401908875,0.25317328918322296,0.2772578970881951,12,0.8460264900662252
12,model_MF,0.43646523356437683,0.6274834437086093,0.3549880859139764,0.43646523356437683,0.24720474613686533,0.27151667455061496,13,0.9033112582781457
